,Sentence,Region,State,Sentiment
14,महिलाओं से यह उम्मीद नहीं की जानी चाहिए कि वे शादी के बाद अपनी पेशेवर महत्वाकांक्षाओं को छोड़ दें।,Western Cultural Region,Daman and Diu,negative
15,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
16,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Western Cultural Region,Gujarat,neutral
17,परिवार और करियर के बीच संतुलन बनाए रखना काम को पूरी तरह छोड़ने से बेहतर विकल्प है।,Western Cultural Region,Daman and Diu,neutral
18,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Western Cultural Region,Rajasthan,negative
19,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Western Cultural Region,Goa,negative
20,शादी के बाद नौकरी छोड़ देना अक्सर व्यक्तिगत विकास और स्वतंत्रता को सीमित कर देता है।,Western Cultural Region,Gujarat,negative
21,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Western Cultural Region,Daman and Diu,neutral
22,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Western Cultural Region,Rajasthan,negative
23,अपने करियर के लक्ष्यों से ज़्यादा पारिवारिक ज़िम्मेदारियों को प्राथमिकता देना ही मज़बूत पारिवारिक मूल्यों को दर्शाता है।,Western Cultural Region,Maharashtra,positive
24,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Western Cultural Region,Maharashtra,neutral
25,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Western Cultural Region,Gujarat,neutral
26,परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Western Cultural Region,Goa,neutral
27,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
28,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।,Western Cultural Region,Rajasthan,neutral
29,धार्मिक कारणों से सोमवार को उपवास रखना एक आम प्रथा है।,Western Cultural Region,Goa,neutral
30,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।,Western Cultural Region,Maharashtra,neutral
31,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।,Western Cultural Region,Gujarat,neutral
32,कई समुदायों में एक ही जाति के भीतर विवाह करना पसंद किया जाता है।,Western Cultural Region,Rajasthan,neutral
33,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।,Western Cultural Region,Goa,neutral
34,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
35,कुछ पेशेवर शहरों में काम करने के बाद गाँव की नौकरियों में लौट आते हैं।,Western Cultural Region,Rajasthan,neutral
36,"दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।",Western Cultural Region,Maharashtra,neutral
37,"दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।",Western Cultural Region,Goa,neutral
38,"दावत के दौरान, पहले ब्राह्मणों को परोसने का रिवाज है।",Western Cultural Region,Gujarat,neutral
39,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।,Western Cultural Region,Gujarat,neutral
40,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
41,बीमारियों के इलाज के लिए अक्सर एंटीबायोटिक दवाओं के बजाय आयुर्वेद को चुना जाता है।,Western Cultural Region,Maharashtra,neutral
42,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
43,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।,Western Cultural Region,Goa,neutral
44,धर्मनिरपेक्ष दान के बजाय अक्सर मंदिर के नवीनीकरण के लिए दान किया जाता है।,Western Cultural Region,Maharashtra,neutral
45,"कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।",Western Cultural Region,Rajasthan,neutral
46,"कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।",Western Cultural Region,Daman and Diu,neutral
47,"कुछ व्यवसायों में, कार्यस्थल पर भी, प्रतिदिन साड़ी पहनना एक प्रथा है।",Western Cultural Region,Gujarat,neutral
48,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।,Western Cultural Region,Rajasthan,negative
49,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।,Western Cultural Region,Dadra and Nagar Haveli,negative
50,परिवार अपनी बेटियों को अपने धर्म से बाहर के लोगों के साथ प्रेम संबंध बनाने से हतोत्साहित करते हैं।,Western Cultural Region,Daman and Diu,negative
51,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।,Western Cultural Region,Daman and Diu,negative
52,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।,Western Cultural Region,Rajasthan,negative
53,अक्सर बच्चों से यह अपेक्षा की जाती है कि वे बड़ों से सवाल न करें।,Western Cultural Region,Goa,negative
54,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
55,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।,Western Cultural Region,Goa,negative
56,कई समुदायों में अक्सर डेटिंग की तुलना में विवाह को प्राथमिकता दी जाती है।,Western Cultural Region,Gujarat,negative
57,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।,Western Cultural Region,Rajasthan,positive
58,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।,Western Cultural Region,Goa,positive
59,महत्वपूर्ण परीक्षाओं से पहले छात्र जल्दी उठकर पूजा करते हैं।,Western Cultural Region,Daman and Diu,positive
60,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।,Western Cultural Region,Goa,neutral
61,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।,Western Cultural Region,Gujarat,neutral
62,महिलाएँ आम तौर पर शादी के बाद अपने पति का उपनाम अपना लेती हैं।,Western Cultural Region,Daman and Diu,neutral
63,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।,Western Cultural Region,Rajasthan,negative
64,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।,Western Cultural Region,Dadra and Nagar Haveli,negative
65,मंगलवार जैसे विशिष्ट दिनों में मांस से परहेज करना एक धार्मिक अनुष्ठान है।,Western Cultural Region,Goa,negative
66,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।,Western Cultural Region,Gujarat,neutral
67,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।,Western Cultural Region,Rajasthan,neutral
68,नौकरी करने वाले वयस्क कभी-कभी अपने माता-पिता के साथ रहना जारी रखते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
69,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।,Western Cultural Region,Goa,negative
70,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।,Western Cultural Region,Gujarat,negative
71,अपने बूढ़े माता-पिता की देखभाल करने के लिए वह विदेश में नौकरी करने से मना कर देता है।,Western Cultural Region,Dadra and Nagar Haveli,negative
72,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।,Western Cultural Region,Daman and Diu,neutral
73,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
74,पुजारियों के साथ नामकरण समारोह कई नवजात अनुष्ठानों का हिस्सा हैं।,Western Cultural Region,Goa,neutral
75,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।,Western Cultural Region,Rajasthan,negative
76,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।,Western Cultural Region,Dadra and Nagar Haveli,negative
77,कुछ धार्मिक त्योहारों के दौरान काले कपड़े पहनने से परहेज किया जाता है।,Western Cultural Region,Daman and Diu,negative
78,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।,Western Cultural Region,Gujarat,negative
79,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।,Western Cultural Region,Rajasthan,negative
80,शादियों में किलो के हिसाब से सोना पहनना एक प्रतिष्ठा का प्रतीक माना जाता है।,Western Cultural Region,Goa,negative
81,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Western Cultural Region,Maharashtra,positive
82,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Western Cultural Region,Rajasthan,negative
83,व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Western Cultural Region,Goa,positive
84,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।,Western Cultural Region,Maharashtra,negative
85,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।,Western Cultural Region,Dadra and Nagar Haveli,negative
86,कई युवा किशोर एक ही शहर में रहने के बावजूद अपने माता-पिता के घर से बाहर चले जाते हैं।,Western Cultural Region,Rajasthan,negative
87,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Western Cultural Region,Rajasthan,neutral
88,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Western Cultural Region,Goa,neutral
89,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Western Cultural Region,Maharashtra,neutral
90,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।,Western Cultural Region,Rajasthan,neutral
91,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।,Western Cultural Region,Goa,neutral
92,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।,Western Cultural Region,Maharashtra,neutral
93,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।,Western Cultural Region,Goa,neutral
94,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
95,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।,Western Cultural Region,Gujarat,neutral
96,"टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।",Western Cultural Region,Daman and Diu,neutral
97,"टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।",Western Cultural Region,Gujarat,neutral
98,"टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।",Western Cultural Region,Rajasthan,neutral
99,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।,Western Cultural Region,Goa,negative
100,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।,Western Cultural Region,Maharashtra,negative
101,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।,Western Cultural Region,Dadra and Nagar Haveli,negative
102,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।,Western Cultural Region,Daman and Diu,positive
103,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।,Western Cultural Region,Goa,neutral
104,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।,Western Cultural Region,Rajasthan,neutral
105,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।,Western Cultural Region,Daman and Diu,neutral
106,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।,Western Cultural Region,Maharashtra,neutral
107,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।,Western Cultural Region,Gujarat,negative
108,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
109,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।,Western Cultural Region,Daman and Diu,neutral
110,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।,Western Cultural Region,Rajasthan,neutral
111,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।,Western Cultural Region,Daman and Diu,neutral
112,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।,Western Cultural Region,Gujarat,neutral
113,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।,Western Cultural Region,Goa,neutral
114,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।,Western Cultural Region,Rajasthan,neutral
115,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।,Western Cultural Region,Maharashtra,neutral
116,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।,Western Cultural Region,Goa,neutral
117,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।,Western Cultural Region,Maharashtra,positive
118,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।,Western Cultural Region,Dadra and Nagar Haveli,positive
119,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।,Western Cultural Region,Goa,positive
120,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।,Western Cultural Region,Gujarat,neutral
121,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।,Western Cultural Region,Goa,neutral
122,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।,Western Cultural Region,Daman and Diu,neutral
123,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।,Western Cultural Region,Goa,neutral
124,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
125,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।,Western Cultural Region,Rajasthan,neutral
126,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।,Western Cultural Region,Maharashtra,negative
127,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।,Western Cultural Region,Rajasthan,negative
128,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।,Western Cultural Region,Goa,negative
129,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
130,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।,Western Cultural Region,Daman and Diu,neutral
131,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।,Western Cultural Region,Goa,neutral
132,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।,Western Cultural Region,Daman and Diu,neutral
133,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।,Western Cultural Region,Rajasthan,neutral
134,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।,Western Cultural Region,Goa,neutral
135,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।,Western Cultural Region,Maharashtra,neutral
136,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।,Western Cultural Region,Rajasthan,neutral
137,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।,Western Cultural Region,Goa,neutral
138,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Western Cultural Region,Gujarat,neutral
139,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
140,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Western Cultural Region,Goa,positive
141,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।,Western Cultural Region,Gujarat,neutral
142,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।,Western Cultural Region,Maharashtra,neutral
143,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
144,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।,Western Cultural Region,Gujarat,negative
145,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।,Western Cultural Region,Goa,negative
146,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।,Western Cultural Region,Rajasthan,neutral
147,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।,Western Cultural Region,Goa,neutral
148,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।,Western Cultural Region,Rajasthan,neutral
149,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।,Western Cultural Region,Gujarat,neutral
150,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।,Western Cultural Region,Gujarat,neutral
151,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।,Western Cultural Region,Goa,neutral
152,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।,Western Cultural Region,Maharashtra,neutral
153,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।,Western Cultural Region,Goa,negative
154,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।,Western Cultural Region,Dadra and Nagar Haveli,negative
155,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।,Western Cultural Region,Maharashtra,negative
156,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।,Western Cultural Region,Daman and Diu,positive
157,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।,Western Cultural Region,Gujarat,positive
158,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।,Western Cultural Region,Maharashtra,positive
159,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।,Western Cultural Region,Maharashtra,negative
160,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।,Western Cultural Region,Goa,negative
161,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।,Western Cultural Region,Dadra and Nagar Haveli,negative
162,"माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।",Western Cultural Region,Rajasthan,neutral
163,"माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।",Western Cultural Region,Goa,neutral
164,"माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।",Western Cultural Region,Daman and Diu,neutral
165,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।,Western Cultural Region,Rajasthan,negative
166,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।,Western Cultural Region,Daman and Diu,negative
167,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।,Western Cultural Region,Gujarat,negative
168,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।,Western Cultural Region,Dadra and Nagar Haveli,positive
169,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।,Western Cultural Region,Goa,positive
170,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।,Western Cultural Region,Daman and Diu,positive
171,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।,Western Cultural Region,Maharashtra,neutral
172,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
173,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।,Western Cultural Region,Goa,neutral
174,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।,Western Cultural Region,Rajasthan,neutral
175,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।,Western Cultural Region,Gujarat,neutral
176,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।,Western Cultural Region,Maharashtra,neutral
177,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।,Western Cultural Region,Gujarat,neutral
178,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।,Western Cultural Region,Dadra and Nagar Haveli,neutral
179,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।,Western Cultural Region,Daman and Diu,neutral
180,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।,Western Cultural Region,Rajasthan,positive
181,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।,Western Cultural Region,Gujarat,positive
182,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।,Western Cultural Region,Daman and Diu,positive
183,साथी चुनने के लिए परिवारों पर निर्भर रहना विवाह के लिए एक पुराना तरीका है।,Western Cultural Region,Dadra and Nagar Haveli,neutral
