,Sentence,Region,State,Sentiment
58,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
59,छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Central Cultural Region,Chhattisgarh,neutral
60,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।,Central Cultural Region,Madhya Pradesh,neutral
61,कुछ संस्कृतियों में यात्रा करने के लिए एक अंतराल वर्ष लेने को प्रोत्साहित किया जाता है।,Central Cultural Region,Chhattisgarh,neutral
62,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।,Central Cultural Region,Madhya Pradesh,neutral
63,अविवाहित जोड़े आम तौर पर अपने साथी को परिवार के सदस्यों से परिचित कराते हैं।,Central Cultural Region,Chhattisgarh,neutral
64,"टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।",Central Cultural Region,Madhya Pradesh,neutral
65,"टैटू, जिनमें दृश्यमान क्षेत्र भी शामिल हैं, को आत्म-अभिव्यक्ति का एक रूप माना जाता है।",Central Cultural Region,Chhattisgarh,neutral
66,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।,Central Cultural Region,Madhya Pradesh,neutral
67,नास्तिकता और अज्ञेयवाद का कई लोगों द्वारा खुले तौर पर पालन किया जाता है।,Central Cultural Region,Chhattisgarh,negative
68,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।,Central Cultural Region,Madhya Pradesh,neutral
69,पूजा स्थलों पर शॉर्ट्स पहनना असामान्य नहीं है।,Central Cultural Region,Chhattisgarh,neutral
70,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।,Central Cultural Region,Madhya Pradesh,neutral
71,कई पश्चिमी देशों में गोमांस का सेवन आहार का एक मुख्य हिस्सा है।,Central Cultural Region,Chhattisgarh,neutral
72,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।,Central Cultural Region,Madhya Pradesh,neutral
73,वयस्क बच्चे अक्सर अपने माता-पिता के साथ खुली राजनीतिक बहस में शामिल होते हैं।,Central Cultural Region,Chhattisgarh,neutral
74,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
75,कई नियोक्ता मानसिक स्वास्थ्य के लिए अवकाश लेने का समर्थन करते हैं।,Central Cultural Region,Chhattisgarh,neutral
76,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।,Central Cultural Region,Madhya Pradesh,neutral
77,विवाह के बाद पति-पत्नी के लिए अपने उपनाम को बरकरार रखना आम बात है।,Central Cultural Region,Chhattisgarh,neutral
78,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।,Central Cultural Region,Madhya Pradesh,positive
79,सार्वजनिक रूप से स्नेह का प्रदर्शन व्यापक रूप से स्वीकार किया जाता है।,Central Cultural Region,Chhattisgarh,positive
80,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।,Central Cultural Region,Madhya Pradesh,neutral
81,व्यक्ति आम तौर पर पारिवारिक मेल-मिलाप के बिना जीवनसाथी चुनते हैं।,Central Cultural Region,Chhattisgarh,neutral
82,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।,Central Cultural Region,Madhya Pradesh,neutral
83,यदि वे व्यक्तिगत मूल्यों के साथ टकराव करते हैं तो लोग आकर्षक नौकरियों को ठुकरा सकते हैं।,Central Cultural Region,Chhattisgarh,neutral
84,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।,Central Cultural Region,Madhya Pradesh,negative
85,धार्मिक अनुष्ठानों को छोड़ना आम बात है जो व्यक्तिगत मान्यताओं के अनुरूप नहीं हैं।,Central Cultural Region,Chhattisgarh,negative
86,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।,Central Cultural Region,Madhya Pradesh,neutral
87,दंपति अक्सर रिश्ते में खर्चों को समान रूप से बांटते हैं।,Central Cultural Region,Chhattisgarh,neutral
88,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।,Central Cultural Region,Madhya Pradesh,neutral
89,स्कूलों में धार्मिक शिक्षाओं पर अक्सर सवाल उठाए जाते हैं और बहस की जाती है।,Central Cultural Region,Chhattisgarh,neutral
90,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
91,माता-पिता अपने बच्चों के साथ यौन शिक्षा जैसे विषयों पर खुलकर चर्चा करते हैं।,Central Cultural Region,Chhattisgarh,positive
92,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Central Cultural Region,Madhya Pradesh,neutral
93,शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Central Cultural Region,Chhattisgarh,neutral
94,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।,Central Cultural Region,Madhya Pradesh,neutral
95,धार्मिक उपवास के दौरान भोजन करना एक व्यक्तिगत पसंद माना जाता है।,Central Cultural Region,Chhattisgarh,neutral
96,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।,Central Cultural Region,Madhya Pradesh,negative
97,धर्मनिरपेक्ष या नास्तिक संगठनों को योगदान देना आम बात है।,Central Cultural Region,Chhattisgarh,negative
98,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।,Central Cultural Region,Madhya Pradesh,neutral
99,शादियों में काले रंग के कपड़े पहनना अनुचित नहीं माना जाता है।,Central Cultural Region,Chhattisgarh,neutral
100,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।,Central Cultural Region,Madhya Pradesh,neutral
101,कई लोग बेहतर कार्य-जीवन संतुलन बनाए रखने के लिए अंशकालिक काम चुनते हैं।,Central Cultural Region,Chhattisgarh,neutral
102,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।,Central Cultural Region,Madhya Pradesh,negative
103,पुरुषों से अपेक्षा की जाती है कि वे बिना किसी सवाल के अपने पिता की आज्ञा का पालन करें।,Central Cultural Region,Chhattisgarh,negative
104,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।,Central Cultural Region,Madhya Pradesh,positive
105,पिता का सम्मान और उनकी आज्ञा का पालन करने से पारिवारिक मूल्यों और अनुशासन को मजबूती मिलती है।,Central Cultural Region,Chhattisgarh,positive
106,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।,Central Cultural Region,Madhya Pradesh,negative
107,पिता के प्रति अंधा आज्ञाकारिता स्वतंत्र सोच और व्यक्तिगत स्वतंत्रता को दबा देती है।,Central Cultural Region,Chhattisgarh,negative
108,"माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।",Central Cultural Region,Madhya Pradesh,neutral
109,"माता-पिता के मार्गदर्शन का पालन करना फायदेमंद हो सकता है, लेकिन व्यक्तिगत राय भी मायने रखती है।",Central Cultural Region,Chhattisgarh,neutral
110,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।,Central Cultural Region,Madhya Pradesh,negative
111,बेटों से बिना सवाल किए आज्ञापालन की उम्मीद करने से अनावश्यक दबाव और पदानुक्रम पैदा होता है।,Central Cultural Region,Chhattisgarh,negative
112,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।,Central Cultural Region,Madhya Pradesh,positive
113,बिना किसी बहस के पिताओं की बात सुनना परिवारों के भीतर सद्भाव बनाए रखने में मदद करता है।,Central Cultural Region,Chhattisgarh,positive
114,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।,Central Cultural Region,Madhya Pradesh,neutral
115,व्यवस्थित विवाहों को एक अनुकूल जीवन साथी खोजने का एक प्रभावी तरीका माना जाता है।,Central Cultural Region,Chhattisgarh,neutral
116,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।,Central Cultural Region,Madhya Pradesh,neutral
117,व्यवस्थित विवाह मजबूत पारिवारिक समर्थन प्रदान करते हैं और अक्सर स्थिर रिश्तों की ओर ले जाते हैं।,Central Cultural Region,Chhattisgarh,neutral
118,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
119,व्यवस्थित विवाह व्यक्तिगत पसंद और भागीदारों के बीच भावनात्मक संबंध को सीमित करते हैं।,Central Cultural Region,Chhattisgarh,negative
120,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।,Central Cultural Region,Madhya Pradesh,positive
121,जब दोनों व्यक्तियों को निर्णय लेने की समान स्वतंत्रता दी जाती है तब व्यवस्थित विवाह अच्छी तरह से काम कर सकते हैं।,Central Cultural Region,Chhattisgarh,positive
122,साथी चुनने के लिए परिवारों पर निर्भर रहना विवाह के लिए एक पुराना तरीका है।,Central Cultural Region,Madhya Pradesh,neutral
123,साथी चुनने के लिए परिवारों पर निर्भर रहना विवाह के लिए एक पुराना तरीका है।,Central Cultural Region,Chhattisgarh,neutral
124,व्यवस्थित विवाह संगत साथी खोजने का एक व्यावहारिक और व्यवस्थित तरीका प्रदान करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
125,व्यवस्थित विवाह संगत साथी खोजने का एक व्यावहारिक और व्यवस्थित तरीका प्रदान करते हैं।,Central Cultural Region,Chhattisgarh,neutral
126,वयस्क बेटे नौकरी करने के बाद भी अपने माता-पिता के साथ रहना जारी रखते हैं।,Central Cultural Region,Madhya Pradesh,neutral
127,वयस्क बेटे नौकरी करने के बाद भी अपने माता-पिता के साथ रहना जारी रखते हैं।,Central Cultural Region,Chhattisgarh,neutral
128,नौकरी मिलने के बाद माता-पिता के साथ रहना पारिवारिक बंधन और भावनात्मक समर्थन को मजबूत करता है।,Central Cultural Region,Madhya Pradesh,positive
129,नौकरी मिलने के बाद माता-पिता के साथ रहना पारिवारिक बंधन और भावनात्मक समर्थन को मजबूत करता है।,Central Cultural Region,Chhattisgarh,positive
130,स्वतंत्र होने के बाद भी माता-पिता के साथ रहना व्यक्तिगत विकास को कम कर सकता है।,Central Cultural Region,Madhya Pradesh,negative
131,स्वतंत्र होने के बाद भी माता-पिता के साथ रहना व्यक्तिगत विकास को कम कर सकता है।,Central Cultural Region,Chhattisgarh,negative
132,रोजगार के बाद माता-पिता के साथ रहना परिस्थितियों के आधार पर एक व्यावहारिक निर्णय हो सकता है।,Central Cultural Region,Madhya Pradesh,neutral
133,रोजगार के बाद माता-पिता के साथ रहना परिस्थितियों के आधार पर एक व्यावहारिक निर्णय हो सकता है।,Central Cultural Region,Chhattisgarh,neutral
134,वयस्क बच्चों को अपने माता-पिता पर निर्भर रहने के बजाय अपना जीवन बनाना चाहिए।,Central Cultural Region,Madhya Pradesh,neutral
135,वयस्क बच्चों को अपने माता-पिता पर निर्भर रहने के बजाय अपना जीवन बनाना चाहिए।,Central Cultural Region,Chhattisgarh,neutral
136,बहु-पीढ़ीगत जीवन पारिवारिक एकता और जिम्मेदारी की एक मजबूत भावना पैदा करता है।,Central Cultural Region,Madhya Pradesh,positive
137,बहु-पीढ़ीगत जीवन पारिवारिक एकता और जिम्मेदारी की एक मजबूत भावना पैदा करता है।,Central Cultural Region,Chhattisgarh,positive
138,वैलेंटाइन दिवस को पारंपरिक सांस्कृतिक मूल्यों के साथ विरोधाभासी माना जाता है।,Central Cultural Region,Madhya Pradesh,negative
139,वैलेंटाइन दिवस को पारंपरिक सांस्कृतिक मूल्यों के साथ विरोधाभासी माना जाता है।,Central Cultural Region,Chhattisgarh,negative
140,वैलेंटाइन डे का विरोध करने से पारंपरिक सांस्कृतिक मूल्यों को संरक्षित करने में मदद मिलती है।,Central Cultural Region,Madhya Pradesh,neutral
141,वैलेंटाइन डे का विरोध करने से पारंपरिक सांस्कृतिक मूल्यों को संरक्षित करने में मदद मिलती है।,Central Cultural Region,Chhattisgarh,neutral
142,वैलेंटाइन डे की आलोचना करना व्यक्तिगत स्वतंत्रता और अभिव्यक्ति को अनावश्यक रूप से प्रतिबंधित करता है।,Central Cultural Region,Madhya Pradesh,negative
143,वैलेंटाइन डे की आलोचना करना व्यक्तिगत स्वतंत्रता और अभिव्यक्ति को अनावश्यक रूप से प्रतिबंधित करता है।,Central Cultural Region,Chhattisgarh,negative
144,सांस्कृतिक परंपराएँ और आधुनिक उत्सव शांतिपूर्वक सह-अस्तित्व में रह सकते हैं।,Central Cultural Region,Madhya Pradesh,positive
145,सांस्कृतिक परंपराएँ और आधुनिक उत्सव शांतिपूर्वक सह-अस्तित्व में रह सकते हैं।,Central Cultural Region,Chhattisgarh,neutral
146,वैलेंटाइन डे को अस्वीकार करना बदलते सामाजिक मानदंडों के प्रति अत्यधिक कठोर रवैये को दर्शाता है।,Central Cultural Region,Madhya Pradesh,negative
147,वैलेंटाइन डे को अस्वीकार करना बदलते सामाजिक मानदंडों के प्रति अत्यधिक कठोर रवैये को दर्शाता है।,Central Cultural Region,Chhattisgarh,negative
148,बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Central Cultural Region,Madhya Pradesh,positive
149,बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Central Cultural Region,Chhattisgarh,positive
150,बड़ों के सामने सम्मान के संकेत के रूप में जींस पहनने से बचा जाता है।,Central Cultural Region,Madhya Pradesh,negative
151,बड़ों के सामने सम्मान के संकेत के रूप में जींस पहनने से बचा जाता है।,Central Cultural Region,Chhattisgarh,negative
152,बुजुर्गों के सामने कुछ विशेष कपड़ों से बचना सम्मान और अच्छे मूल्यों को दर्शाता है।,Central Cultural Region,Madhya Pradesh,negative
153,बुजुर्गों के सामने कुछ विशेष कपड़ों से बचना सम्मान और अच्छे मूल्यों को दर्शाता है।,Central Cultural Region,Chhattisgarh,negative
154,कपड़ों के विकल्पों के आधार पर सम्मान का आंकलन करना अनावश्यक सामाजिक दबाव पैदा करता है।,Central Cultural Region,Madhya Pradesh,negative
155,कपड़ों के विकल्पों के आधार पर सम्मान का आंकलन करना अनावश्यक सामाजिक दबाव पैदा करता है।,Central Cultural Region,Chhattisgarh,negative
156,कपड़ों की पसंद और बड़ों के प्रति सम्मान एक दूसरे से स्वतंत्र रूप से मौजूद हो सकते हैं।,Central Cultural Region,Madhya Pradesh,neutral
157,कपड़ों की पसंद और बड़ों के प्रति सम्मान एक दूसरे से स्वतंत्र रूप से मौजूद हो सकते हैं।,Central Cultural Region,Chhattisgarh,neutral
158,परंपरा के नाम पर कपड़ों के विकल्पों को सीमित करना व्यक्तिगत अभिव्यक्ति को सीमित करता है।,Central Cultural Region,Madhya Pradesh,negative
159,परंपरा के नाम पर कपड़ों के विकल्पों को सीमित करना व्यक्तिगत अभिव्यक्ति को सीमित करता है।,Central Cultural Region,Chhattisgarh,negative
160,पहनावे के बारे में सांस्कृतिक अपेक्षाओं का सम्मान करना सामाजिक सद्भाव बनाए रखने में मदद करता है।,Central Cultural Region,Madhya Pradesh,positive
161,पहनावे के बारे में सांस्कृतिक अपेक्षाओं का सम्मान करना सामाजिक सद्भाव बनाए रखने में मदद करता है।,Central Cultural Region,Chhattisgarh,positive
162,महिलाएँ एक सांस्कृतिक प्रथा के रूप में अपने सिर को बड़ों के सामने ढँकती हैं।,Central Cultural Region,Madhya Pradesh,negative
163,महिलाएँ एक सांस्कृतिक प्रथा के रूप में अपने सिर को बड़ों के सामने ढँकती हैं।,Central Cultural Region,Chhattisgarh,negative
164,बड़ों के सामने सिर ढकना सम्मान और सांस्कृतिक मूल्यों को दर्शाता है।,Central Cultural Region,Madhya Pradesh,positive
165,बड़ों के सामने सिर ढकना सम्मान और सांस्कृतिक मूल्यों को दर्शाता है।,Central Cultural Region,Chhattisgarh,positive
166,महिलाओं से अपने सिर ढकने की अपेक्षा करना असमान सामाजिक अपेक्षाओं को बढ़ावा देता है।,Central Cultural Region,Madhya Pradesh,negative
167,महिलाओं से अपने सिर ढकने की अपेक्षा करना असमान सामाजिक अपेक्षाओं को बढ़ावा देता है।,Central Cultural Region,Chhattisgarh,negative
168,जब व्यक्ति सांस्कृतिक प्रथाओं को स्वतंत्र रूप से चुनते हैं तो उनका पालन किया जाना चाहिए।,Central Cultural Region,Madhya Pradesh,neutral
169,जब व्यक्ति सांस्कृतिक प्रथाओं को स्वतंत्र रूप से चुनते हैं तो उनका पालन किया जाना चाहिए।,Central Cultural Region,Chhattisgarh,neutral
170,पारंपरिक पोशाक की अपेक्षाएँ अक्सर महिलाओं पर अनावश्यक दबाव डालती हैं।,Central Cultural Region,Madhya Pradesh,negative
171,पारंपरिक पोशाक की अपेक्षाएँ अक्सर महिलाओं पर अनावश्यक दबाव डालती हैं।,Central Cultural Region,Chhattisgarh,negative
172,सांस्कृतिक रीति-रिवाजों को संरक्षित करने से पहचान और परंपरा की भावना बनाए रखने में मदद मिलती है।,Central Cultural Region,Madhya Pradesh,positive
173,सांस्कृतिक रीति-रिवाजों को संरक्षित करने से पहचान और परंपरा की भावना बनाए रखने में मदद मिलती है।,Central Cultural Region,Chhattisgarh,positive
174,महिलाओं से यह अपेक्षा की जाती है कि वे पूरे परिवार के लिए प्रतिदिन खाना बनाएँ।,Central Cultural Region,Madhya Pradesh,positive
175,महिलाओं से यह अपेक्षा की जाती है कि वे पूरे परिवार के लिए प्रतिदिन खाना बनाएँ।,Central Cultural Region,Chhattisgarh,positive
176,"हर दिन परिवार के लिए खाना बनाना देखभाल, जिम्मेदारी और समर्पण को दर्शाता है।",Central Cultural Region,Madhya Pradesh,positive
